dataset,method,seed_count,complete_count,valid_count,valid_rate,symmetric_dirichlet_area_weighted_mean_mean,symmetric_dirichlet_area_weighted_mean_std,symmetric_dirichlet_area_weighted_mean_median,symmetric_dirichlet_area_weighted_mean_min,symmetric_dirichlet_area_weighted_mean_max,symmetric_dirichlet_p95_mean,symmetric_dirichlet_p95_std,symmetric_dirichlet_p95_median,symmetric_dirichlet_p95_min,symmetric_dirichlet_p95_max,symmetric_dirichlet_p99_mean,symmetric_dirichlet_p99_std,symmetric_dirichlet_p99_median,symmetric_dirichlet_p99_min,symmetric_dirichlet_p99_max,angle_distortion_mean_deg_mean,angle_distortion_mean_deg_std,angle_distortion_mean_deg_median,angle_distortion_mean_deg_min,angle_distortion_mean_deg_max,angle_distortion_p95_deg_mean,angle_distortion_p95_deg_std,angle_distortion_p95_deg_median,angle_distortion_p95_deg_min,angle_distortion_p95_deg_max,min_signed_area_mean,min_signed_area_std,min_signed_area_median,min_signed_area_min,min_signed_area_max,selected_iteration_mean,selected_iteration_std,selected_iteration_median,selected_iteration_min,selected_iteration_max,wall_elapsed_seconds_mean,wall_elapsed_seconds_std,wall_elapsed_seconds_median,wall_elapsed_seconds_min,wall_elapsed_seconds_max,training_elapsed_seconds_mean,training_elapsed_seconds_std,training_elapsed_seconds_median,training_elapsed_seconds_min,training_elapsed_seconds_max
Balls,affine,5,5,5,1.0,5.139653652148506,0.049578798121932825,5.1164427675619715,5.097531677115124,5.201879027339048,12.24070873260498,0.6171313308401665,12.090042114257812,11.565449714660645,12.97192096710205,48.4789535522461,3.2054505593273483,50.10359573364258,43.68985366821289,51.22163009643555,16.038377531707294,0.25458575608169315,16.014067439111543,15.754735595556468,16.39586384343348,41.09231013772251,0.2594358613286653,41.0893545610807,40.674551954128795,41.35000064196188,0.0073090151883661745,0.0002874174270074768,0.007309617940336466,0.006914770696312189,0.007725147530436516,935.0,82.15838362577492,950.0,800.0,1000.0,35.33106884000008,0.7094345213836137,35.626559800002724,34.57705009999336,36.111547000007704,22.6408276400005,0.6951556195133616,22.897477399994386,21.92112850000558,23.508812600004603
Balls,spline,5,5,5,1.0,4.581079903039217,0.012303337603975945,4.582019610217889,4.568703579616139,4.597931703865877,7.214129447937012,0.14073168321917873,7.205504417419434,7.009537696838379,7.401492595672607,19.14048652648926,1.0746614987114742,18.9047908782959,17.875581741333008,20.652568817138672,12.723655131424206,0.18440667259778104,12.715810408016127,12.457842542621734,12.97516546855409,36.02115874593893,0.33084228018386336,36.06206581809789,35.6053768902398,36.367422109914536,0.019252852350473405,0.0011625808494474619,0.01913543976843357,0.0175593513995409,0.020776472985744476,990.0,13.693063937629153,1000.0,975.0,1000.0,105.30739346000192,1.0146388600324248,104.86505089999991,104.70421389999683,107.10816180000256,92.47239351999887,1.0692411173971192,91.99990450000041,91.87471880001249,94.37222619999375
Cow,affine,5,5,5,1.0,57.02766842382857,12.173001704646776,58.56926212558211,42.66754051268535,69.62229278093346,295.1600677490234,69.03515244781208,309.0521545410156,206.0203857421875,362.686767578125,1389.6383178710937,338.5567413450724,1307.455078125,968.5169067382812,1738.1650390625,36.04264447032282,1.8863121182292353,36.22509777105376,33.04804797434263,37.64512566923881,89.54932508811103,5.0365291974348585,91.62105485563355,82.09564364741777,94.60015001578529,2.2763128981750924e-07,9.238403331687218e-08,1.8393075151834637e-07,1.330738541582832e-07,3.627756086643785e-07,1000.0,0.0,1000.0,1000.0,1000.0,391.4709390999982,3.3431905125588504,391.287823199993,386.64725270000054,395.08340119999775,235.09805840000337,1.9373703128339828,235.02728840000054,232.50440510000044,237.8931561000063
Cow,spline,5,5,5,1.0,16.71182665609941,1.140219573485062,16.32742914074229,15.794967765002745,18.696159538525635,75.51928405761718,3.572988060725332,75.2837142944336,70.86808776855469,80.91859436035156,331.5626281738281,60.969961147766085,306.6482238769531,297.9617614746094,439.9015808105469,30.670572190029,0.7140310604833215,30.464771904900495,30.001112147985754,31.859499331928884,77.71625279212468,1.7290293330197248,77.27434095231433,75.99955174838544,80.61656494435016,7.599378477607388e-08,1.0231321095877877e-08,7.908965926617384e-08,5.937977221037727e-08,8.697725206729956e-08,1000.0,0.0,1000.0,1000.0,1000.0,463.8580554599961,2.2373540210213534,462.64721909999207,462.2914602999954,467.48668149999867,308.48583179999844,1.9756936549934665,307.5765895999939,306.56213389999175,311.2243618000066
David328,affine,5,5,5,1.0,10.707537144421096,0.1695272429837923,10.711738962473525,10.486135450177752,10.894984933620695,29.83609275817871,0.7684912070648701,29.92401123046875,29.125057220458984,31.00643539428711,56.992224884033206,8.777527862709476,60.778343200683594,46.1405143737793,67.39693450927734,26.988823130225263,0.21710756097909348,27.086260945014267,26.75047115076871,27.241007445151777,68.88118289866664,1.337956072095709,69.1442750202602,67.04019357204488,70.24787795195712,0.00422191028483212,0.0003422410276900948,0.004164095036685467,0.003819541772827506,0.004586586728692055,1000.0,0.0,1000.0,1000.0,1000.0,25.420587340000203,0.13673210581683978,25.453683499988983,25.193968900013715,25.532551099997363,16.536006639996778,0.12684406044545876,16.588815099996282,16.358750599989435,16.642681799989077
David328,spline,5,5,5,1.0,8.944166605048009,0.10529113874829223,8.973900241613885,8.7897827404214,9.065194539490204,22.4571102142334,1.0999079030982264,22.474903106689453,21.292198181152344,23.941946029663086,39.809173583984375,2.4672384901506317,39.090763092041016,37.59862518310547,43.54133224487305,25.80625617366629,0.476033418281583,25.90958754985701,25.24246303722461,26.33443439565004,65.84500187293784,1.3389030270128128,65.29815969625942,64.7921350652889,68.11614368530034,0.00918121226131916,0.0008299609383063912,0.009033211506903172,0.008255615830421448,0.01039534155279398,965.0,78.26237921249263,1000.0,825.0,1000.0,95.56851483999927,2.426774941309416,95.95543940000061,91.6859795999917,98.18155090000073,86.55282033999974,2.3868945623473294,86.95499030000065,82.75661699999182,89.15516410001146
Isis,affine,5,5,5,1.0,7.5398381157504675,0.09351144741805587,7.589943357490192,7.42479868352015,7.635569315039586,18.180469131469728,0.42998378658599157,18.12741470336914,17.723596572875977,18.844650268554688,31.86284980773926,1.8203271893351596,31.395801544189453,30.14276695251465,34.743167877197266,22.09575370785729,0.14199421277065982,22.12156067767081,21.910788681637097,22.245078642740854,57.64739668115031,0.5169693940693898,57.48920407342507,57.046689632253035,58.29780487364365,7.777348073432223e-05,5.174011323908816e-06,7.934312452562153e-05,6.88638465362601e-05,8.135452662827447e-05,1000.0,0.0,1000.0,1000.0,1000.0,30.923777659999907,1.099173052106633,31.036456999994698,29.52341590001015,32.416051500011235,20.40731123999867,1.1793852262315927,20.46167200000491,18.991645999994944,22.090758299993468
Isis,spline,5,5,5,1.0,5.531143916470633,0.1108547978945591,5.514621450522402,5.423891592026786,5.70767859933698,10.751218605041505,0.4005378183747511,10.576491355895996,10.36941146850586,11.1839017868042,20.858221435546874,2.128241189674126,20.83024787902832,17.73299789428711,23.397708892822266,16.272167658402434,0.5734471761368026,16.03701670415791,15.783555352671566,17.099332124318156,47.76531746438464,1.424534361254075,48.35108724984907,45.708269197564455,49.05521631692324,8.65614420035854e-05,1.0624212080531148e-05,8.986468310467899e-05,7.331093365792185e-05,9.862885053735226e-05,985.0,33.54101966249684,1000.0,925.0,1000.0,100.21827073999448,1.445218338837926,99.99084499999299,99.03619990000152,102.66304839999066,89.76199527999852,1.4042227445315612,89.52560519998951,88.64107409999997,92.14937139999529
NefertitiFace,affine,5,5,5,1.0,4.45941390809881,0.03391082577758549,4.45272217004354,4.427080192361382,4.510093828855531,5.770524406433106,0.08611265320504337,5.748266220092773,5.659112930297852,5.891430377960205,6.696855068206787,0.1565426591947009,6.684635639190674,6.476995468139648,6.898215293884277,9.899793994885993,0.15164807461890753,9.810244761124022,9.770037259476496,10.128600857007756,25.15101332405255,0.5826153163908255,25.325308435644047,24.51365002798832,25.869742431589884,0.0032891704700887202,0.0003148646776406269,0.00317213824018836,0.0029643848538398743,0.003666187636554241,970.0,44.721359549995796,1000.0,900.0,1000.0,25.324639939999905,0.10718403611345104,25.357385199997225,25.180127900006482,25.438792500004638,16.508460179998657,0.1062989435960132,16.528975699999137,16.328745999999228,16.588771599999745
NefertitiFace,spline,5,5,5,1.0,4.093085286113581,0.00767655299978717,4.095010838809097,4.08094545140789,4.101281111942184,4.5414470672607425,0.021379493221194146,4.541082382202148,4.51235818862915,4.569905757904053,5.102058410644531,0.28546300002588637,5.055932521820068,4.807199001312256,5.5103678703308105,5.295109340131548,0.18158598681121094,5.345939048776989,4.995360785601723,5.451640730636738,15.388473630898634,0.40868109337889225,15.408186134982758,14.77454318294901,15.924970557805677,0.0041770792566239836,0.00044095694516538454,0.004082616418600082,0.0037052875850349665,0.004652885254472494,990.0,13.693063937629153,1000.0,975.0,1000.0,95.62892102000187,0.6726069154239452,96.0022159999935,94.8289528000023,96.18190640000103,86.7621218400047,0.6724652548380623,87.11960990000807,85.93039320000389,87.32067439999082
