dataset,seed,status,wall_elapsed_seconds,training_elapsed_seconds,source,method,iters,selected_iteration,valid,num_flipped,num_nonfinite,num_intersections,min_signed_area,symmetric_dirichlet_mean,symmetric_dirichlet_area_weighted_mean,symmetric_dirichlet_p95,symmetric_dirichlet_p99,symmetric_dirichlet_max,angle_distortion_mean_deg,angle_distortion_p95_deg,angle_distortion_max_deg,stretch_max_mean,stretch_max_area_weighted_mean,stretch_max_p95,stretch_max_max,condition_number_mean,condition_number_area_weighted_mean,condition_number_p95,normalized_uv_area_min,initial_symmetric_dirichlet_mean,initial_symmetric_dirichlet_max
Balls,0,complete,,,data\output\v2.2\affine_cap\Balls\affine\Balls_affine.metrics.json,initial,0,0,True,0,0,0,0.006513184534496378,8.404830932617188,5.754598007471708,25.57837677001953,78.50255584716797,130.64695739746094,18.081265623478107,41.54420534329884,84.64061241804542,1.6383215188980103,1.3973345790805798,4.065340518951416,11.240262031555176,2.2320728302001953,1.7707241825681403,3.9110262393951416,0.014996005744395666,8.404830932617188,130.64695739746094
Balls,0,complete,37.68452810001327,24.521900799998548,data\output\v2.2\affine_cap\Balls\affine\Balls_affine.metrics.json,affine,1000,1000,True,0,0,0,0.007323119323700666,6.6084089279174805,5.106531030698211,11.56727409362793,45.57028579711914,96.26903533935547,16.006748611451826,40.252638652369974,76.97967800907654,1.4802976846694946,1.307233885177146,2.6062722206115723,9.684222221374512,1.955767273902893,1.6669348962657613,3.4622504711151123,0.019096801057457924,8.404830932617188,130.64695739746094
David328,0,complete,,,data\output\v2.2\affine_cap\David328\affine\David328_affine.metrics.json,initial,0,0,True,0,0,0,0.0015429302974062818,34.694400787353516,28.409904139347297,145.427978515625,243.545654296875,698.5292358398438,20.997121710634236,53.75168057564068,111.67839684565686,2.988456964492798,2.7149550286769655,10.212942123413086,26.24643898010254,2.3353164196014404,2.2042114622799933,4.624103546142578,0.0007443642966928505,34.694400787353516,698.5292358398438
David328,0,complete,27.01424190000398,17.79401919999509,data\output\v2.2\affine_cap\David328\affine\David328_affine.metrics.json,affine,1000,1000,True,0,0,0,0.004107455722987652,11.753750801086426,10.58986896774188,30.810556411743164,69.03056335449219,166.0443878173828,26.575721564517075,69.16870620271928,125.33888100083419,1.935746431350708,1.829990060991983,4.997798919677734,8.53676986694336,3.279583692550659,3.118716851704057,8.119134902954102,0.011109576560556889,34.694400787353516,698.5292358398438
NefertitiFace,0,complete,,,data\output\v2.2\affine_cap\NefertitiFace\affine\NefertitiFace_affine.metrics.json,initial,0,0,True,0,0,0,0.0037910122498877492,5.224428653717041,5.30879698640285,7.70266580581665,10.701338768005371,14.317275047302246,13.441894780747404,34.00951904429498,59.39939984305042,1.347828984260559,1.405045866553785,2.263763904571533,3.47580623626709,1.6690396070480347,1.7015165805846808,2.699599027633667,0.0732501111561628,5.224428653717041,14.317275047302246
NefertitiFace,0,complete,26.560919999988982,17.43410420001601,data\output\v2.2\affine_cap\NefertitiFace\affine\NefertitiFace_affine.metrics.json,affine,1000,1000,True,0,0,0,0.0031857523135840893,4.553051471710205,4.456422851412184,5.619104385375977,6.399588108062744,7.138956069946289,9.859204342233127,25.443340999618894,58.011040522073365,1.1990143060684204,1.187830753998921,1.632544755935669,1.986700415611267,1.4413793087005615,1.4014472104699984,2.0146427154541016,0.07223157584667206,5.224428653717041,14.317275047302246
Isis,0,complete,,,data\output\v2.2\affine_cap\Isis\affine\Isis_affine.metrics.json,initial,0,0,True,0,0,0,4.1098180972201694e-05,15.866033554077148,13.462514078364729,33.37770080566406,72.97795104980469,1508.113037109375,25.555652405204135,59.845294137970974,103.07562448907093,2.098554849624634,1.9903427599104688,4.532660961151123,38.79947280883789,3.0302884578704834,2.951691591247877,5.950791358947754,0.012222577891136462,15.866033554077148,1508.113037109375
Isis,0,complete,31.15744090001681,20.45603729999857,data\output\v2.2\affine_cap\Isis\affine\Isis_affine.metrics.json,affine,1000,1000,True,0,0,0,7.292937516467646e-05,8.725519180297852,7.649121134049151,18.36504364013672,33.06221008300781,386.0415954589844,22.210240858216473,57.5116731240753,121.8549495017778,1.7857379913330078,1.62546258239219,3.6605823040008545,19.594026565551758,2.732619524002075,2.623931218989437,6.24553108215332,0.033082786947488785,15.866033554077148,1508.113037109375
Cow,0,complete,,,data\output\v2.2\affine_cap\Cow\affine\Cow_affine.metrics.json,initial,0,0,True,0,0,0,5.932557181910131e-08,828.5261840820312,286.00127162250567,266.4740905761719,7306.1552734375,284752.6875,38.84791722284608,97.48163525593736,168.91894738056217,2.9136226177215576,2.6826268748032422,7.963070392608643,30.163965225219727,12.235595703125,6.979145584846725,31.92215347290039,4.3978844860979657e-05,828.5261840820312,284752.6875
Cow,0,complete,395.6571429000178,239.4390476999979,data\output\v2.2\affine_cap\Cow\affine\Cow_affine.metrics.json,affine,1000,1000,True,0,0,0,2.8486113023973303e-07,119.53717041015625,56.91747875805699,237.9907989501953,1425.0867919921875,37024.9609375,33.082154684752304,81.93780377219217,166.63141513524198,4.710553169250488,4.118423357359278,13.254100799560547,64.6410140991211,6.994291305541992,4.887977966980927,15.92162799835205,8.87418573256582e-05,828.5261840820312,284752.6875
