dataset,seed,status,wall_elapsed_seconds,training_elapsed_seconds,source,method,iters,selected_iteration,valid,num_flipped,num_nonfinite,num_intersections,min_signed_area,symmetric_dirichlet_mean,symmetric_dirichlet_area_weighted_mean,symmetric_dirichlet_p95,symmetric_dirichlet_p99,symmetric_dirichlet_max,angle_distortion_mean_deg,angle_distortion_p95_deg,angle_distortion_max_deg,stretch_max_mean,stretch_max_area_weighted_mean,stretch_max_p95,stretch_max_max,condition_number_mean,condition_number_area_weighted_mean,condition_number_p95,normalized_uv_area_min,initial_symmetric_dirichlet_mean,initial_symmetric_dirichlet_max
Balls,0,complete,,,data\output\v2.2\affine_g\Balls\affine\Balls_affine.metrics.json,initial,0,0,True,0,0,0,0.006513184534496378,8.404830932617188,5.754598007471708,25.57837677001953,78.50255584716797,130.64695739746094,18.081265623478107,41.54420534329884,84.64061241804542,1.6383215188980103,1.3973345790805798,4.065340518951416,11.240262031555176,2.2320728302001953,1.7707241825681403,3.9110262393951416,0.014996005744395666,8.404830932617188,130.64695739746094
Balls,0,complete,36.102032800001325,22.849744000006467,data\output\v2.2\affine_g\Balls\affine\Balls_affine.metrics.json,affine,1000,1000,True,0,0,0,0.007465191185474396,6.876469612121582,5.169154745225646,12.752639770507812,49.90386199951172,113.95256042480469,16.041268148373327,41.36410341881856,109.79377575340156,1.495553970336914,1.3094442086075442,2.7894866466522217,10.5562744140625,1.9842431545257568,1.6657464929388939,3.5478506088256836,0.019255967810750008,8.404830932617188,130.64695739746094
David328,0,complete,,,data\output\v2.2\affine_g\David328\affine\David328_affine.metrics.json,initial,0,0,True,0,0,0,0.0015429302974062818,34.694400787353516,28.409904139347297,145.427978515625,243.545654296875,698.5292358398438,20.997121710634236,53.75168057564068,111.67839684565686,2.988456964492798,2.7149550286769655,10.212942123413086,26.24643898010254,2.3353164196014404,2.2042114622799933,4.624103546142578,0.0007443642966928505,34.694400787353516,698.5292358398438
David328,0,complete,27.28648829998565,18.032443800009787,data\output\v2.2\affine_g\David328\affine\David328_affine.metrics.json,affine,1000,1000,True,0,0,0,0.004544111900031567,11.641449928283691,10.46258942559217,31.373132705688477,52.798954010009766,151.89163208007812,27.18503604908269,71.23918757814656,131.98282457255903,1.9353164434432983,1.8297706300631824,4.623106002807617,9.321901321411133,3.3059499263763428,3.1854949015078344,7.510164737701416,0.012692546471953392,34.694400787353516,698.5292358398438
NefertitiFace,0,complete,,,data\output\v2.2\affine_g\NefertitiFace\affine\NefertitiFace_affine.metrics.json,initial,0,0,True,0,0,0,0.0037910122498877492,5.224428653717041,5.30879698640285,7.70266580581665,10.701338768005371,14.317275047302246,13.441894780747404,34.00951904429498,59.39939984305042,1.347828984260559,1.405045866553785,2.263763904571533,3.47580623626709,1.6690396070480347,1.7015165805846808,2.699599027633667,0.0732501111561628,5.224428653717041,14.317275047302246
NefertitiFace,0,complete,27.246653000009246,17.945387199986726,data\output\v2.2\affine_g\NefertitiFace\affine\NefertitiFace_affine.metrics.json,affine,1000,1000,True,0,0,0,0.0033310239668935537,4.559024810791016,4.426825511368125,5.708378791809082,6.8440327644348145,7.9487810134887695,9.848931767258511,24.618506127764576,65.9278923430153,1.2017674446105957,1.1791866494991532,1.6619333028793335,2.182091236114502,1.4340524673461914,1.3730917837987526,1.9764446020126343,0.07512179017066956,5.224428653717041,14.317275047302246
Isis,0,complete,,,data\output\v2.2\affine_g\Isis\affine\Isis_affine.metrics.json,initial,0,0,True,0,0,0,4.1098180972201694e-05,15.866033554077148,13.462514078364729,33.37770080566406,72.97795104980469,1508.113037109375,25.555652405204135,59.845294137970974,103.07562448907093,2.098554849624634,1.9903427599104688,4.532660961151123,38.79947280883789,3.0302884578704834,2.951691591247877,5.950791358947754,0.012222577891136462,15.866033554077148,1508.113037109375
Isis,0,complete,32.19563970001764,21.362217200017767,data\output\v2.2\affine_g\Isis\affine\Isis_affine.metrics.json,affine,1000,1000,True,0,0,0,8.03314324002713e-05,8.664932250976562,7.622650684024027,18.222169876098633,31.341556549072266,397.3669738769531,22.226294047736612,57.95532227096702,119.59828915095143,1.788953185081482,1.629660907777194,3.613809585571289,19.880617141723633,2.7261664867401123,2.6229625690062965,6.141524314880371,0.036321286112070084,15.866033554077148,1508.113037109375
Cow,0,complete,,,data\output\v2.2\affine_g\Cow\affine\Cow_affine.metrics.json,initial,0,0,True,0,0,0,5.932557181910131e-08,828.5261840820312,286.00127162250567,266.4740905761719,7306.1552734375,284752.6875,38.84791722284608,97.48163525593736,168.91894738056217,2.9136226177215576,2.6826268748032422,7.963070392608643,30.163965225219727,12.235595703125,6.979145584846725,31.92215347290039,4.3978844860979657e-05,828.5261840820312,284752.6875
Cow,0,complete,398.0120046000229,238.3099394000019,data\output\v2.2\affine_g\Cow\affine\Cow_affine.metrics.json,affine,1000,850,True,0,0,0,9.475843398831785e-08,106.44564056396484,50.704037268762114,280.0500183105469,1272.7269287109375,30382.146484375,34.91766930695861,85.53722409601673,165.97330434289825,4.447932720184326,3.747210620694909,13.165342330932617,72.63557434082031,7.725183963775635,5.068128294399519,19.13866424560547,3.3325908589176834e-05,828.5261840820312,284752.6875
