dataset,seed,status,wall_elapsed_seconds,training_elapsed_seconds,source,method,iters,selected_iteration,valid,num_flipped,num_nonfinite,num_intersections,min_signed_area,symmetric_dirichlet_mean,symmetric_dirichlet_area_weighted_mean,symmetric_dirichlet_p95,symmetric_dirichlet_p99,symmetric_dirichlet_max,angle_distortion_mean_deg,angle_distortion_p95_deg,angle_distortion_max_deg,normalized_uv_area_min,initial_symmetric_dirichlet_mean,initial_symmetric_dirichlet_max
David328,0,complete,,,data\output\v2_1_small\David328\direct\David328_direct.metrics.json,initial,0,0,True,0,0,0,0.0015429302974062818,34.694400787353516,28.409904139347297,145.427978515625,243.545654296875,698.5292358398438,20.997121710634236,53.75168057564068,111.67839684565686,0.0007443642966928505,34.694400787353516,698.5292358398438
David328,0,complete,21.016094699996756,10.100183200003812,data\output\v2_1_small\David328\direct\David328_direct.metrics.json,direct,1000,1000,True,0,0,0,0.009093795903027058,21.852920532226562,19.211613123456978,114.60929107666016,166.13523864746094,356.8502502441406,12.92990014213099,37.45688723369944,75.86594861331992,0.00495013315230608,34.694400787353516,698.5292358398438
David328,0,complete,26.580432700007805,17.54337640000449,data\output\v2_1_small\David328\affine\David328_affine.metrics.json,affine,1000,1000,True,0,0,0,0.004557520616799593,11.780516624450684,10.599241941373602,31.00643539428711,60.901771545410156,157.8162384033203,27.086260945014267,70.24787795195712,141.6122751831384,0.012668180279433727,34.694400787353516,698.5292358398438
David328,0,complete,93.37016989999393,84.11815840000054,data\output\v2_1_small\David328\spline\David328_spline.metrics.json,spline,1000,1000,True,0,0,0,0.009033211506903172,9.608771324157715,8.89611741002985,23.941946029663086,37.87544250488281,58.68056106567383,25.24246303722461,65.07363409085737,114.28376903668334,0.02844868041574955,34.694400787353516,698.5292358398438
David328,0,complete,6.919008600001689,0.11671810000552796,data\output\v2_1_small\David328\slim\David328_slim.metrics.json,slim,20,20,True,0,0,0,0.018545503690476695,7.397692680358887,7.237717409461377,16.866348266601562,21.426328659057617,33.65790557861328,19.291699015087286,54.10659194014664,105.89505599800978,0.06321294270176503,34.694400787353516,698.5292358398438
NefertitiFace,0,complete,,,data\output\v2_1_small\NefertitiFace\direct\NefertitiFace_direct.metrics.json,initial,0,0,True,0,0,0,0.0037910122498877492,5.224428653717041,5.30879698640285,7.70266580581665,10.701338768005371,14.317275047302246,13.441894780747404,34.00951904429498,59.39939984305042,0.0732501111561628,5.224428653717041,14.317275047302246
NefertitiFace,0,complete,16.858201999988523,8.447058300007484,data\output\v2_1_small\NefertitiFace\direct\NefertitiFace_direct.metrics.json,direct,1000,1000,True,0,0,0,0.005753721110522747,4.051161289215088,4.041508448918053,4.2273783683776855,4.389336109161377,4.519707679748535,3.0704442896050996,8.078869611113127,24.69250193631561,0.13073846697807312,5.224428653717041,14.317275047302246
NefertitiFace,0,complete,24.597671600000467,15.820937600001344,data\output\v2_1_small\NefertitiFace\affine\NefertitiFace_affine.metrics.json,affine,1000,1000,True,0,0,0,0.003579577896744013,4.564462661743164,4.432692175100579,5.659112930297852,6.646956920623779,8.2136812210083,9.980877588434506,25.869742431589884,61.50997572368931,0.08099524676799774,5.224428653717041,14.317275047302246
NefertitiFace,0,complete,96.7716580999986,87.97446479999053,data\output\v2_1_small\NefertitiFace\spline\NefertitiFace_spline.metrics.json,spline,1000,1000,True,0,0,0,0.004652885254472494,4.156872272491455,4.096871732261902,4.55120849609375,4.884135723114014,5.929491996765137,5.414416780734303,15.408186134982758,32.72407721029958,0.1082986369729042,5.224428653717041,14.317275047302246
NefertitiFace,0,complete,6.75532860000385,0.05425529999774881,data\output\v2_1_small\NefertitiFace\slim\NefertitiFace_slim.metrics.json,slim,20,20,True,0,0,0,0.00559184733262944,4.0512261390686035,4.036175226005686,4.253827095031738,4.450174331665039,4.661979675292969,2.879217580851077,7.7277504798409815,27.562232599057918,0.1306384403080995,5.224428653717041,14.317275047302246
Isis,0,complete,,,data\output\v2_1_small\Isis\direct\Isis_direct.metrics.json,initial,0,0,True,0,0,0,4.1098180972201694e-05,15.866033554077148,13.462514078364729,33.37770080566406,72.97795104980469,1508.113037109375,25.555652405204135,59.845294137970974,103.07562448907093,0.012222577891136462,15.866033554077148,1508.113037109375
